data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
synthetic,20x20,20,20,10,path_integral,44,1.414788980792789,0.025496868149126085,2.345912916935049,0.1563941944623366,0.0034418728901073337,0.007747872266918421,2.333870653761551,0.0002757897600531578,300,0.007779568845871836,,
synthetic,50x50,50,50,2,path_integral,42,6.080336937867363e-15,1.8905980420792073e-16,0.5845766250276938,0.03897177500184625,0.004124414059333503,0.004621120635420084,0.5747970480006188,0.0004393939161673188,750,0.0007663960640008251,,
synthetic,50x50,50,50,2,path_integral,43,6.192644039520529e-15,1.915259157472239e-16,0.5946147500071675,0.039640983333811164,0.004027332877740264,0.004722359357401729,0.5847727183718234,0.0004453642759472132,750,0.0007796969578290979,,
synthetic,50x50,50,50,2,path_integral,44,6.337817383053214e-15,1.8990369858958882e-16,0.5612733750604093,0.037418225004027285,0.003979373839683831,0.004253373714163899,0.5520670084515586,0.0004503176314756274,750,0.0007360893446020782,,
synthetic,50x50,50,50,5,path_integral,42,1.4492145139196642e-14,1.8836324785411473e-16,1.9373837080784142,0.1291589138718943,0.005459416541270912,0.008703665691427886,1.9220125657739118,0.0005471647018566728,750,0.002562683421031882,,
synthetic,50x50,50,50,5,path_integral,43,1.5692317606691983e-14,2.0239230821003065e-16,2.050686875008978,0.13671245833393186,0.006053082877770066,0.009403615724295378,2.0339507842436433,0.000591259216889739,750,0.0027119343789915244,,
synthetic,50x50,50,50,5,path_integral,44,1.17571492446656e-14,1.6932395264828676e-16,1.9502032089512795,0.13001354726341863,0.005608916049823165,0.008668993134051561,1.9347081527812406,0.0005322688957676291,750,0.0025796108703749873,,
synthetic,50x50,50,50,10,path_integral,42,2.3116364362181887,0.018282104789019836,5.979443000047468,0.39862953333649787,0.010499208234250546,0.02034082915633917,5.947122008888982,0.0007074609166011214,750,0.007929496011851977,,
synthetic,50x50,50,50,10,path_integral,43,3.870715877757707,0.026943556667669764,5.908264041994698,0.3938842694663132,0.009670791449025273,0.020271492772735655,5.876805191626772,0.0007539592916145921,750,0.007835740255502363,,
synthetic,50x50,50,50,10,path_integral,44,2.299736447662052,0.016690772518715886,5.960351999965496,0.39735679999769974,0.00984274793881923,0.019961793557740748,5.929017189424485,0.0007737042615190148,750,0.00790535625256598,,
