method,k,gamma,silhouette,davies_bouldin
qlloyd_medoid,4,7.0,0.07159882906343268,2.1319498312010436
agglo_average,6,2.5,0.07055506903181837,1.7854899995995464
qlloyd_mean,7,2.0,0.07041198710286611,2.0814431855665307
qlloyd_medoid,8,3.0,0.07014562725692147,3.3212794865369344
agglo_average,8,2.25,0.07005641379287002,2.689631778159352
qlloyd_medoid,7,4.0,0.06964902111393077,3.6382026678752424
qlloyd_medoid,4,8.0,0.06923386596959756,2.0377578014358906
agglo_average,9,2.0,0.06919535747488258,3.305065192955755
qlloyd_medoid,10,2.0,0.06883246386700312,4.299406913840103
qlloyd_mean,11,1.75,0.0686226128866493,13.746952913752752
qlloyd_medoid,4,5.0,0.06851755430241688,5.119846517842866
qlloyd_mean,12,1.75,0.0677903054426216,6.808376393140385
qlloyd_mean,9,2.0,0.06757331618317547,8.508634432640967
qlloyd_mean,5,2.5,0.06741778285743287,3.9567989932957617
qlloyd_medoid,12,1.75,0.06741713568948302,7.618974313953168
qlloyd_medoid,7,2.5,0.06644158544355193,10.315761526076567
qlloyd_medoid,12,6.0,0.06609404042291356,5.471671615522229
agglo_average,7,2.25,0.06592286331654362,2.790490742009912
agglo_average,8,2.0,0.06546951780018621,3.0822401370096486
qlloyd_medoid,9,7.0,0.06538330427230998,3.421557602346039
qlloyd_medoid,10,2.5,0.06535199458308408,7.024983201573929
qlloyd_medoid,7,3.0,0.06525465058097897,3.05628241938223
qlloyd_medoid,11,2.25,0.06492741790190701,6.403169690726949
agglo_average,4,3.0,0.06444892868064976,1.290903637427723
qlloyd_mean,10,1.75,0.06442263553681725,4.964112320088872
qlloyd_medoid,7,5.0,0.06426768808964778,4.904020201186472
qlloyd_mean,5,2.25,0.06392388144214038,2.872638581219776
agglo_average,5,2.5,0.06389265617063739,1.3759562162979917
qlloyd_medoid,5,3.0,0.06356962680258205,2.985728924839987
agglo_average,12,1.75,0.06233185991515729,10.552777139982524
qlloyd_medoid,12,7.0,0.06188031682499421,5.0706250308125655
agglo_average,6,2.25,0.06174973891488771,2.065621061181653
qlloyd_medoid,8,2.5,0.06147605628750368,11.374095791673142
qlloyd_medoid,10,3.0,0.060727794892126756,3.233119505792115
qlloyd_medoid,9,1.75,0.05990954722414338,10.339697270288704
qlloyd_mean,4,3.0,0.05957017157057464,5.88480028490812
qlloyd_medoid,8,2.0,0.05951976002425719,3.2262747403144973
qlloyd_medoid,6,4.0,0.0594936541134697,2.8734290419314106
qlloyd_medoid,11,2.0,0.05934905511058583,9.293659026048159
qlloyd_medoid,11,4.0,0.059195922562461215,10.30010156336729
qlloyd_medoid,6,6.0,0.05909239986033524,3.0128042662623096
qlloyd_medoid,10,1.75,0.05892853953313886,7.4743263623951055
agglo_average,11,1.75,0.05889195547841768,8.484515942878623
agglo_average,7,2.0,0.05859175900826983,3.176748075419044
qlloyd_medoid,8,6.0,0.057562982317456296,5.902712805859588
agglo_average,10,1.75,0.05747212712238927,9.084750228865976
qlloyd_medoid,11,8.0,0.05717380309818651,4.92210139224265
qlloyd_mean,6,2.25,0.057080005624184825,3.255069632245453
qlloyd_medoid,12,1.5,0.05699420644638129,11.883574286428123
qlloyd_mean,8,1.75,0.05655598661792099,6.293894597177237
qlloyd_medoid,8,2.25,0.05651542244474077,4.986043754396713
qlloyd_medoid,7,6.0,0.056247495805803245,3.3340860102125953
agglo_average,4,2.5,0.05620287321836251,1.2727502831270978
agglo_average,5,2.25,0.055920553506171124,1.9034732000916363
qlloyd_mean,11,1.5,0.0558783110590104,25.72898116966204
qlloyd_medoid,11,7.0,0.05586388075643349,4.430588763608619
qlloyd_medoid,9,8.0,0.05572052698351868,4.021471712326295
qlloyd_medoid,6,5.0,0.05559476439565162,4.803297699868298
qlloyd_medoid,11,2.5,0.05548753947649001,4.581431232418486
qlloyd_medoid,10,2.25,0.05536122035295641,13.701052753937228
qlloyd_medoid,6,7.0,0.05536112041495668,3.4617413594300555
qlloyd_medoid,12,8.0,0.05514422918169764,4.786416741752838
agglo_average,12,1.5,0.05510680081261088,8.829397502580845
agglo_average,6,2.0,0.05470028418907764,2.089080054309529
qlloyd_medoid,11,1.75,0.05443160051452336,5.518960948908295
qlloyd_mean,9,1.75,0.05415003499511609,6.8298530227313075
agglo_average,11,1.5,0.05354179178941834,9.344622254603017
qlloyd_medoid,8,7.0,0.05352838389864009,3.9010541113281283
qlloyd_medoid,4,4.0,0.05347996059588136,3.0172831039296257
qlloyd_medoid,11,3.0,0.05340039936946226,5.450235098250148
qlloyd_mean,12,1.5,0.053156632906324754,17.28016212111033
qlloyd_medoid,5,2.5,0.05310916648687674,2.9918745135106604
qlloyd_medoid,6,8.0,0.05241720897068926,3.6827448233669666
agglo_average,9,1.75,0.05161184399336619,8.600191949484792
qlloyd_medoid,10,6.0,0.05131030839959358,5.347386477771911
qlloyd_medoid,6,2.25,0.05107964700805699,2.2453169584426003
qlloyd_medoid,8,1.75,0.050941587160365294,7.797699264342696
qlloyd_mean,7,1.75,0.05081150657042235,6.954516804232324
qlloyd_medoid,5,2.25,0.0499330195100002,2.3571014207410697
qlloyd_mean,10,1.5,0.04987479643921714,7.604850197490288
agglo_average,5,2.0,0.04970616551616846,1.9455575220804975
qlloyd_medoid,4,2.5,0.04961879506507464,2.4879953519811435
qlloyd_medoid,6,2.0,0.04940246063114281,2.8861809718735234
qlloyd_mean,4,2.5,0.04938930780185286,7.137087428724405
agglo_average,8,1.75,0.04868258648654832,9.02336736124023
qlloyd_medoid,9,1.5,0.04862747670028606,9.327850744061472
qlloyd_medoid,10,1.5,0.04837168481024048,11.1127212747438
qlloyd_medoid,8,8.0,0.048323099370988755,3.7826327734607776
agglo_average,4,2.25,0.04808192094818009,1.5496777132750572
qlloyd_medoid,10,8.0,0.04748707091073786,6.396298093874265
qlloyd_mean,5,2.0,0.047286547601261414,3.7733555723604937
qlloyd_medoid,7,2.25,0.04669728873905964,5.366678007549241
agglo_average,7,1.75,0.046524172036648284,5.037270856782925
qlloyd_mean,6,2.0,0.04624322239142343,3.558533887593464
qlloyd_mean,4,2.25,0.04617232360338442,4.4636939242849305
qlloyd_medoid,5,2.0,0.045523335070199296,2.3612758164423395
agglo_average,10,1.5,0.045301527196871284,9.851249103257882
qlloyd_medoid,11,1.5,0.04524777623492469,21.889966937647
qlloyd_mean,8,1.5,0.04404373957985672,6.306333629749902
qlloyd_mean,5,1.75,0.04394543876009414,4.922359941856403
qlloyd_medoid,6,2.5,0.04336065335491886,4.308859307308607
agglo_average,9,1.5,0.04332663470604428,7.19491958048509
agglo_average,6,1.75,0.043094722800574914,4.121077156822357
qlloyd_medoid,4,2.25,0.04285428917002323,3.4350242912804148
qlloyd_medoid,4,3.0,0.042810213139126134,5.1011117141033075
qlloyd_medoid,12,1.25,0.04271373592393621,13.64642178165216
agglo_average,4,2.0,0.042712739949364135,1.4820211634102534
qlloyd_medoid,10,7.0,0.04215407506531518,5.36988135426465
agglo_average,8,1.5,0.04133789350764962,8.330129472010244
agglo_average,12,1.25,0.0410549575874419,10.888142907125335
qlloyd_medoid,7,8.0,0.04079413741422202,3.389643702932438
qlloyd_mean,9,1.5,0.04071752433415336,20.93600401935282
qlloyd_medoid,8,1.5,0.040510507503241644,7.555955314522623
agglo_average,11,1.25,0.03977231502000026,14.550814914647033
qlloyd_medoid,7,2.0,0.039735827473386685,6.847473992424527
qlloyd_mean,6,1.75,0.0396683225323669,3.801208661769889
qlloyd_mean,11,1.25,0.039624255305104286,38.73420565719996
agglo_average,5,1.75,0.03960025346425724,3.4575087873827357
qlloyd_medoid,5,1.75,0.03904652444217947,4.037111168833644
qlloyd_mean,7,1.5,0.037767383673501555,6.919515694050283
agglo_average,10,1.25,0.03771416275503403,15.351183720004443
