method,k,gamma,silhouette,davies_bouldin
agglo_average,7,0.75,0.005877908320581809,24.353582985989696
agglo_average,7,0.5,0.005877908308823407,24.35358298929455
agglo_average,7,1.0,0.005877908308823407,24.35358298929455
qlloyd_medoid,11,0.75,0.005536458486168434,112.41023481891848
qlloyd_medoid,11,0.5,0.005536458453766554,112.4102374892261
qlloyd_medoid,11,1.0,0.005536458453766554,112.4102374892261
agglo_average,6,0.75,0.005521963830424339,24.129810888398804
agglo_average,6,0.5,0.005521963815183656,24.12981090422484
agglo_average,6,1.0,0.005521963815183656,24.12981090422484
qlloyd_medoid,8,0.75,0.005487466385670734,42.004290999695584
qlloyd_medoid,8,0.5,0.00548746634446216,42.00429089081926
qlloyd_medoid,8,1.0,0.00548746634446216,42.00429089081926
qlloyd_medoid,9,0.75,0.00545312490351787,67.43291524979611
qlloyd_medoid,9,0.5,0.005453124862155998,67.43291567688314
qlloyd_medoid,9,1.0,0.005453124862155998,67.43291567688314
qlloyd_medoid,6,0.75,0.005333341077919075,25.69862327609167
qlloyd_medoid,6,0.5,0.005333341067212014,25.698623255088933
qlloyd_medoid,6,1.0,0.005333341067212014,25.698623255088933
agglo_average,5,0.75,0.0047025673496409225,22.732495040994575
agglo_average,5,0.5,0.0047025673398860615,22.73249506032785
agglo_average,5,1.0,0.0047025673398860615,22.73249506032785
qlloyd_medoid,7,1.25,0.004435844453372303,28.27238587180935
agglo_average,4,0.75,0.004300651742480548,35.273322959843
agglo_average,4,0.5,0.0043006517390078184,35.27332302038494
agglo_average,4,1.0,0.0043006517390078184,35.27332302038494
qlloyd_medoid,4,0.75,0.004276396565361703,49.11630283208973
qlloyd_medoid,4,0.5,0.004276396544182395,49.11630288626068
qlloyd_medoid,4,1.0,0.004276396544182395,49.11630288626068
qlloyd_medoid,5,0.75,0.0038448257128705617,20.583726816151625
qlloyd_medoid,5,0.5,0.0038448256773489383,20.583726824908638
qlloyd_medoid,5,1.0,0.0038448256773489383,20.583726824908638
qlloyd_mean,6,0.75,0.002820700859729518,35.56436303647128
qlloyd_mean,6,0.5,0.0028207008272211984,35.56436301638355
qlloyd_mean,6,1.0,0.0028207008272211984,35.56436301638355
qlloyd_mean,9,0.75,0.0026579200997248315,61.7784522476664
qlloyd_mean,9,0.5,0.0026579200786897793,61.77845241821678
qlloyd_mean,9,1.0,0.0026579200786897793,61.77845241821678
qlloyd_medoid,7,0.75,0.002173990707949076,29.049155880809284
qlloyd_medoid,7,0.5,0.0021739906773915883,29.049155747998245
qlloyd_medoid,7,1.0,0.0021739906773915883,29.049155747998245
qlloyd_mean,12,0.75,0.001089537302927633,70.0008658894025
qlloyd_mean,12,0.5,0.0010895372679527824,70.00086777675465
qlloyd_mean,12,1.0,0.0010895372679527824,70.00086777675465
qlloyd_mean,8,0.75,0.0004398150832458982,98.08859534517707
qlloyd_mean,8,0.5,0.0004398150644158065,98.08859370478633
qlloyd_mean,8,1.0,0.0004398150644158065,98.08859370478633
qlloyd_mean,7,0.75,0.00030002094827592216,41.5181217790269
qlloyd_mean,7,0.5,0.0003000209431146442,41.51812170013426
qlloyd_mean,7,1.0,0.0003000209431146442,41.51812170013426
qlloyd_mean,4,0.75,-0.00026248251007115185,40.54387539384868
qlloyd_mean,4,0.5,-0.00026248253124239526,40.543875588221084
qlloyd_mean,4,1.0,-0.00026248253124239526,40.543875588221084
qlloyd_mean,5,0.75,-0.00040709888159569906,55.08285675538109
qlloyd_mean,5,0.5,-0.00040709889060810105,55.08285679927879
qlloyd_mean,5,1.0,-0.00040709889060810105,55.08285679927879
qlloyd_mean,10,0.75,-0.0009264048819760132,45.54872071931861
qlloyd_mean,10,0.5,-0.0009264048926269897,45.54872073754167
qlloyd_mean,10,1.0,-0.0009264048926269897,45.54872073754167
qlloyd_mean,11,0.75,-0.0010616958257892426,69.2269013669339
qlloyd_mean,11,0.5,-0.0010616958401472565,69.22690195188966
qlloyd_mean,11,1.0,-0.0010616958401472565,69.22690195188966
