method,k,gamma,silhouette,davies_bouldin
qlloyd_medoid,7,1.75,0.5551527834367005,7.810951658709112
qlloyd_mean,10,6.0,0.5550523296105522,6.205790055949319
qlloyd_medoid,10,1.5,0.5550112124018934,16.719302766343166
qlloyd_mean,10,2.25,0.5549260413791535,2.7694345852442876
agglo_average,10,1.25,0.5549076249638258,13.101475023322246
qlloyd_medoid,11,8.0,0.5548436715257892,10.62797698461257
agglo_average,9,7.0,0.5548013039717612,6.848228307039782
agglo_average,5,2.0,0.5547504603972286,6.71427928751187
qlloyd_medoid,4,7.0,0.5545763294062639,1.8567972757510385
qlloyd_medoid,6,2.0,0.5544606869624104,11.430218026011682
qlloyd_medoid,4,6.0,0.5544540990569813,1.809548501929959
qlloyd_medoid,11,1.25,0.5544363644440955,18.028631052381364
qlloyd_medoid,5,4.0,0.5543863885155966,7.881595653723074
agglo_average,5,1.75,0.5543723255738805,6.082613793333774
qlloyd_mean,12,3.0,0.554305874593586,2.6141277291674854
qlloyd_mean,5,7.0,0.5542945410025597,2.4919338579190646
agglo_average,5,7.0,0.5542837599080848,4.170005124036253
qlloyd_mean,9,2.5,0.5542165063990004,2.2668615658965185
qlloyd_medoid,5,2.25,0.5541968081520301,8.450182247062287
qlloyd_medoid,6,3.0,0.554154113273162,7.957299506841554
qlloyd_medoid,6,5.0,0.5541358590401886,8.828449504180517
qlloyd_medoid,4,5.0,0.5540906020967663,4.661970517764718
qlloyd_mean,7,6.0,0.5540850905848803,1.925939105335851
qlloyd_mean,7,4.0,0.5540792453143106,6.485811809478558
qlloyd_medoid,9,6.0,0.5539381810236529,8.261852193422248
qlloyd_mean,11,2.5,0.5538841754448453,3.8414497459210972
qlloyd_mean,5,6.0,0.5538826581091013,2.5037465431429937
qlloyd_medoid,12,1.25,0.5538579956605445,11.575913790583632
qlloyd_medoid,9,1.5,0.5538573369216871,11.056773700347748
qlloyd_medoid,5,5.0,0.55383880076029,9.982550610999642
qlloyd_mean,7,7.0,0.5536947163087262,2.4882650211521447
qlloyd_mean,7,8.0,0.5536097723733552,2.4697658771064206
agglo_average,9,1.25,0.5535013299450012,16.091556095859797
agglo_average,4,2.5,0.5534767679154506,6.285933186053269
qlloyd_medoid,5,3.0,0.5534766134173139,6.000253730885787
qlloyd_mean,7,5.0,0.5533896772130502,1.8656385145928025
agglo_average,6,1.5,0.5533657013147397,25.023193018373608
qlloyd_medoid,8,1.75,0.5532959054004746,33.00620203456836
agglo_average,4,2.0,0.5532589466742757,3.637553197175521
qlloyd_medoid,10,1.25,0.5531911208799043,14.396424659527344
qlloyd_mean,11,2.25,0.5531422132639395,9.508887595535793
qlloyd_mean,5,5.0,0.553089998230934,2.482709772209314
agglo_average,8,1.25,0.5530581987022257,11.210524766258597
qlloyd_mean,4,4.0,0.5530275232387989,4.118802284766093
agglo_average,4,2.25,0.5530102879091457,4.532984717797586
agglo_average,7,1.25,0.5528260358364891,11.15082798471353
qlloyd_medoid,5,8.0,0.5527866749698115,3.6981022473453526
qlloyd_medoid,6,2.5,0.5527316518959065,5.270489147468776
qlloyd_medoid,6,1.75,0.5525144328180025,5.863974816198012
qlloyd_mean,10,2.0,0.5524419647062451,6.363590196703724
qlloyd_mean,9,2.25,0.5523908673327618,2.711085220381778
qlloyd_medoid,9,7.0,0.5523209143404949,6.23200436563533
qlloyd_medoid,5,2.5,0.5523100071525545,5.7824124567994115
qlloyd_medoid,4,4.0,0.5520388492735696,2.2357699398988564
qlloyd_mean,8,2.5,0.5519378658694332,2.9806682091267915
qlloyd_mean,4,3.0,0.5516305796370039,4.673244614482658
agglo_average,5,1.5,0.5513749123116275,41.314399993259734
qlloyd_medoid,12,7.0,0.5513575049862118,17.011331966203045
qlloyd_mean,12,2.5,0.5513446157480092,2.5091995694866056
qlloyd_mean,5,4.0,0.5513444004010517,2.4136268317871594
qlloyd_medoid,9,8.0,0.5512985264795536,7.1144234056615705
qlloyd_medoid,7,3.0,0.5512907440013848,10.904455952079312
